Date,Day,Total Units,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
10/08/2014,Sun,633,10.22,10.34,10.56,11.04,11.02,10.87,11.05,11.04,10.44,11.23,10.85,10.21,10.4,10.61,11.87,11.72,11.15,11.84,12.78,13.09,14.53,15.44,15.94,17.22,16.87,14.59,17.13,17.02,16.65,17.81,17.38,17.75,14.69,13.47,13.53,13.28,13.45,13.55,13,12.78,12.96,13.37,12.71,12.82,12.74,13.42,13.43,12.96
11/08/2014,Mon,"1,257",12.69,12.93,13.12,14.17,13.49,13.61,12.47,11.69,11.6,11.51,12.2,12.94,14.41,13.95,16.9,23.84,30.53,36.53,39.25,44.44,44.81,45.23,44.73,43.81,43.71,43.7,43.06,43.25,42.7,42.54,42.91,42.58,42.65,40.02,37.8,33.02,28.87,25.46,22.23,20.56,17.12,15.09,14.85,13.54,13.41,12.61,12.44,12.51
12/08/2014,Tue,"1,270",12.42,11.73,11.99,13.19,11.73,11.83,12.26,13.36,12.84,12.97,12.45,12.05,14.32,15.09,19.51,26.27,33.38,38.32,41.19,44.05,44.88,44.99,43.9,44.12,43.49,43.84,43.22,43.7,42.65,44.12,43.85,44.9,44.82,41.16,38.6,33.69,29.85,24.64,21.63,21.72,16.21,14.97,13.14,11.77,11.02,13.07,12.25,12.41
13/08/2014,Wed,"1,250",12.01,11.07,11.3,12.06,11.4,11.53,11.29,11.38,11.38,11.2,11.38,11.75,12.75,13.85,19.55,25.13,31.99,35.23,39.91,43.49,44.21,43.8,43.35,43.4,42.82,42.8,43.12,42.56,43.45,43.29,43.73,44.15,42.56,41.9,39.98,33.73,29.5,25.05,23.49,21.28,19.73,16.16,15.74,14.15,13.14,12.38,10.37,10.39
14/08/2014,Thu,"1,235",10.67,11.25,10.64,11.23,10.77,11.06,11.91,10.85,10.65,10.9,10.81,11.31,11.62,13.82,16.33,23.98,32.61,35.64,40.53,43.99,44.36,44.45,44.08,43.28,44.33,43.93,42.54,43.41,42.84,42.76,42.52,42.5,42.92,41.31,37.84,33.96,29.81,26.3,22.63,20.85,16.4,15.67,14.19,14.19,12.67,13.17,10.77,10.98
15/08/2014,Fri,"1,167",11.02,10.85,11.33,11.59,11.77,11.62,11.86,12.15,11.19,11.34,11.03,11.39,11.98,13.99,17.24,24.8,29.35,33.85,41.77,42.21,40.86,41.56,41.3,41.22,40.51,41.69,40.71,41.27,40.2,40.03,40.14,40.29,39.71,37.48,35.74,30.82,25.85,23.82,20.95,18.36,14.63,12.56,12.67,11.72,10.03,10.96,9.91,9.8
16/08/2014,Sat,570,10.09,9.86,10.22,10.37,10.4,9.96,10.17,10.52,10.36,9.97,9.77,9.88,9.78,9.71,9.75,9.62,10.07,11.53,11.76,12.54,12.47,13.16,14.9,14.64,14.08,12.38,14.77,13.94,13.13,13.02,11.98,12.46,13.2,13.23,14.46,12.68,12.1,13.08,12.48,12.58,12.63,12.34,12.61,12.45,12.41,12.55,12.61,11.61
17/08/2014,Sun,585,12.22,10.61,12.46,12.27,12.01,11.91,11.85,12.57,12.32,12.81,12.06,12.64,11.1,11.93,11.77,12.03,12.03,11.79,11.91,11.48,12.07,12.14,12.29,13.42,13.02,12.8,13.09,13.99,12.93,13.63,13.82,13.78,14.64,14.36,12.1,11.48,11.47,11.58,11.51,11.33,11.15,11.25,11.84,11.24,11.34,11.92,10.95,9.78
18/08/2014,Mon,"1,200",9.7,9.55,9.9,10.39,12.05,11.9,12.2,11.72,11.96,12.28,10.9,10.72,12.95,13.72,15.74,24.3,33.41,34.87,38.53,42.3,41.23,42.21,41.75,42.05,43.27,43.07,41.52,42.16,41.58,42.52,41.56,41.64,40.94,38.49,36.81,32.16,28.46,24.35,19.98,17.83,16.47,15.25,14.18,13.46,13.35,13.51,10.8,10.07
19/08/2014,Tue,"1,199",10.01,9.98,10.58,10.64,10.51,10.28,10.4,10.38,10.46,10.54,10.78,10.76,12.43,13.59,15.99,23.74,36.12,35.39,38.82,43.05,42.3,43.7,44.19,44.8,43.57,42.69,42.45,41.16,42.16,42.01,42.77,43.78,41.87,40.11,36.92,33.06,28.72,22.58,18.27,17.46,15.06,13.56,12.92,13.19,11.59,13.32,10.29,10.34
